language,method,method_label,x,y,total_push_events,avg_share_pct,total_unique_actors
C++,trimap,TriMAP,37.36524200439453,1.616899013519287,5417606,4.584946117536749,2155325
Dart,trimap,TriMAP,35.2039909362793,-1.088384985923767,5286974,3.957027329701022,2114040
Go,trimap,TriMAP,36.76683807373047,-1.076117992401123,6106099,4.577036956597448,2420693
Haskell,trimap,TriMAP,-33.57338333129883,0.03721042722463608,1307190,1.1018389386709484,525871
Java,trimap,TriMAP,51.58197784423828,0.6544673442840576,10649233,9.997440388355766,4115597
JavaScript,trimap,TriMAP,52.867919921875,0.23699945211410522,23397479,18.958067121515302,8400426
Julia,trimap,TriMAP,-31.666404724121094,-5.106431007385254,2432233,1.8880278189973967,975839
Kotlin,trimap,TriMAP,-31.602642059326172,-5.673757076263428,2803880,2.440588883777426,1134693
Lua,trimap,TriMAP,-33.276283264160156,0.08810318261384964,1760751,1.5346384881841457,709237
Objective-C,trimap,TriMAP,-34.73546600341797,2.645883083343506,1037881,2.39967052387679,418713
PHP,trimap,TriMAP,38.02180862426758,3.1425955295562744,4041034,4.692085585224304,1619274
Perl,trimap,TriMAP,-34.783321380615234,2.512725353240967,1201958,1.6098529144139295,484486
Python,trimap,TriMAP,52.29548645019531,0.3364180624485016,19540304,15.30602863205692,7885694
R,trimap,TriMAP,35.506805419921875,1.6040657758712769,3596759,2.974309430424798,1440239
Ruby,trimap,TriMAP,-34.409759521484375,2.987269163131714,2062551,2.759964512971545,823296
Rust,trimap,TriMAP,-30.956703186035156,-6.308846950531006,3890454,3.1816836768270673,1861719
Scala,trimap,TriMAP,-33.01706314086914,1.1671957969665527,2662153,2.4964651651660166,1065806
Swift,trimap,TriMAP,-31.453067779541016,-5.563769817352295,2851196,2.3068912040399217,1136517
TypeScript,trimap,TriMAP,50.34921646118164,-0.4263226091861725,13610685,9.915381066820354,5687980
C,pacmap,PaCMAP,1.465410590171814,0.789025068283081,4367226,3.9287758148380356,1743409
C#,pacmap,PaCMAP,2.246840715408325,0.9543787240982056,5893288,5.121370683914723,2380153
C++,pacmap,PaCMAP,2.1540486812591553,0.9347440004348755,5417606,4.584946117536749,2155325
Dart,pacmap,PaCMAP,-5.83267879486084,-0.7552695274353027,5286974,3.957027329701022,2114040
Go,pacmap,PaCMAP,2.5309810638427734,1.0145065784454346,6106099,4.577036956597448,2420693
Haskell,pacmap,PaCMAP,-3.3473167419433594,-0.22936367988586426,1307190,1.1018389386709484,525871
Java,pacmap,PaCMAP,4.071807861328125,1.3405481576919556,10649233,9.997440388355766,4115597
JavaScript,pacmap,PaCMAP,4.297218322753906,1.3882484436035156,23397479,18.958067121515302,8400426
Julia,pacmap,PaCMAP,-5.258559703826904,-0.6337860226631165,2432233,1.8880278189973967,975839
Kotlin,pacmap,PaCMAP,-5.157657146453857,-0.6124349236488342,2803880,2.440588883777426,1134693
Lua,pacmap,PaCMAP,-2.557936429977417,-0.06233002990484238,1760751,1.5346384881841457,709237
Objective-C,pacmap,PaCMAP,-2.293050765991211,-0.0062797097489237785,1037881,2.39967052387679,418713
PHP,pacmap,PaCMAP,1.1237608194351196,0.7167301177978516,4041034,4.692085585224304,1619274
Perl,pacmap,PaCMAP,-2.072723150253296,0.040342167019844055,1201958,1.6098529144139295,484486
Python,pacmap,PaCMAP,4.293880939483643,1.3875411748886108,19540304,15.30602863205692,7885694
R,pacmap,PaCMAP,0.9119240641593933,0.6719043850898743,3596759,2.974309430424798,1440239
Ruby,pacmap,PaCMAP,-1.6016956567764282,0.14001144468784332,2062551,2.759964512971545,823296
Rust,pacmap,PaCMAP,-5.606899738311768,-0.7074944376945496,3890454,3.1816836768270673,1861719
Scala,pacmap,PaCMAP,-1.5685070753097534,0.14703550934791565,2662153,2.4964651651660166,1065806
Swift,pacmap,PaCMAP,-5.477790355682373,-0.6801755428314209,2851196,2.3068912040399217,1136517
TypeScript,pacmap,PaCMAP,4.210208892822266,1.3698357343673706,13610685,9.915381066820354,5687980
C,opentsne,OpenTSNE (t-SNE / FIt-SNE class),1.4082065985148957,3.8254034022848704,4367226,3.9287758148380356,1743409
C#,opentsne,OpenTSNE (t-SNE / FIt-SNE class),4.603902033805983,4.632612018079666,5893288,5.121370683914723,2380153
C++,opentsne,OpenTSNE (t-SNE / FIt-SNE class),3.5711607170400512,2.5972149011956827,5417606,4.584946117536749,2155325
Dart,opentsne,OpenTSNE (t-SNE / FIt-SNE class),4.271346531306997,-3.757405998613225,5286974,3.957027329701022,2114040
Go,opentsne,OpenTSNE (t-SNE / FIt-SNE class),5.268146335086071,-1.989486402012081,6106099,4.577036956597448,2420693
Haskell,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-8.525114198650558,-1.4089693539486803,1307190,1.1018389386709484,525871
Java,opentsne,OpenTSNE (t-SNE / FIt-SNE class),9.399787938561781,4.5607265229570055,10649233,9.997440388355766,4115597
JavaScript,opentsne,OpenTSNE (t-SNE / FIt-SNE class),12.80125981353915,4.6680646635421645,23397479,18.958067121515302,8400426
Julia,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-5.416185015800637,-7.562452916177215,2432233,1.8880278189973967,975839
Kotlin,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-5.256998609759295,-10.384871365538714,2803880,2.440588883777426,1134693
Lua,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-6.67913191782728,-0.348738941951317,1760751,1.5346384881841457,709237
Objective-C,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-10.454080725595889,3.9063321784274785,1037881,2.39967052387679,418713
PHP,opentsne,OpenTSNE (t-SNE / FIt-SNE class),1.2973095525672365,6.593839676401932,4041034,4.692085585224304,1619274
Perl,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-8.885726061502325,2.180172408849975,1201958,1.6098529144139295,484486
Python,opentsne,OpenTSNE (t-SNE / FIt-SNE class),11.490009012563295,3.0640065988660274,19540304,15.30602863205692,7885694
R,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-0.9346159255430062,2.3893188027047296,3596759,2.974309430424798,1440239
Ruby,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-7.032378913593968,4.401600187721791,2062551,2.759964512971545,823296
Rust,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-2.722367863724244,-10.423277631920616,3890454,3.1816836768270673,1861719
Scala,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-3.4503186087330993,2.466174779802874,2662153,2.4964651651660166,1065806
Swift,opentsne,OpenTSNE (t-SNE / FIt-SNE class),-3.2560104246277946,-8.064759603174155,2851196,2.3068912040399217,1136517
TypeScript,opentsne,OpenTSNE (t-SNE / FIt-SNE class),8.501799732372636,-1.3455039274981877,13610685,9.915381066820354,5687980
