month,language,push_events,unique_actors,events_per_actor,actor_rank
2011-11,Ruby,7557,2757,2.7410228509249186,7
2011-11,Scala,4617,1898,2.4325605900948366,11
2011-12,C,7066,2946,2.398506449422946,7
2011-12,C#,8321,3609,2.3056248268218344,5
2011-12,C++,6705,2943,2.2782874617737003,8
2011-12,Haskell,1744,700,2.4914285714285715,14
2011-12,Java,20338,8838,2.3011993663724826,2
2011-12,JavaScript,26667,9584,2.782449916527546,1
2011-12,Lua,2716,1006,2.6998011928429424,13
2011-12,Objective-C,6690,2511,2.664277180406213,9
2011-12,PHP,12373,5754,2.150330205074731,4
2011-12,Perl,4738,1752,2.704337899543379,12
2011-12,Python,20262,7720,2.6246113989637307,3
2011-12,R,4469,1766,2.530577576443941,11
2011-12,Ruby,8382,3208,2.61284289276808,6
2011-12,Scala,4876,1984,2.4576612903225805,10
2012-01,C,8196,3344,2.450956937799043,7
2012-01,C#,9029,3687,2.4488744236506643,5
2012-01,C++,7726,3390,2.27905604719764,6
2012-01,Haskell,1828,650,2.812307692307692,14
2012-01,Java,20664,7385,2.7981042654028436,3
2012-01,JavaScript,29079,10205,2.849485546300833,1
2012-01,Lua,2665,954,2.793501048218029,13
2012-01,Objective-C,6822,2672,2.55314371257485,9
2012-01,PHP,13436,5050,2.6605940594059407,4
2012-01,Perl,4993,1988,2.511569416498994,11
2012-01,Python,20648,8083,2.554497092663615,2
2012-01,R,4662,1879,2.481106971793507,12
2012-01,Ruby,8715,3267,2.667584940312213,8
2012-01,Scala,5513,2155,2.5582366589327146,10
2012-02,C,7667,3050,2.5137704918032786,8
2012-02,C#,9964,3448,2.8897911832946637,5
2012-02,C++,8502,3355,2.5341281669150524,7
2012-02,Haskell,2014,848,2.375,14
2012-02,Java,21847,8399,2.601142993213478,3
2012-02,JavaScript,30819,10413,2.9596658023624314,1
2012-02,Lua,2926,1140,2.566666666666667,13
2012-02,Objective-C,7244,3039,2.3836788417242514,9
2012-02,PHP,13353,4918,2.7151281008540056,4
2012-02,Perl,5240,2015,2.600496277915633,12
2012-02,Python,24026,10317,2.328777745468644,2
2012-02,R,5160,2085,2.4748201438848922,11
2012-02,Ruby,8690,3358,2.5878499106611077,6
2012-02,Scala,5436,2181,2.4924346629986247,10
2012-03,C,8437,3520,2.396875,7
2012-03,C#,10282,3926,2.618950585838003,5
2012-03,C++,9147,3584,2.5521763392857144,6
2012-03,Go,862,327,2.636085626911315,15
2012-03,Haskell,2044,754,2.7108753315649867,14
2012-03,Java,23374,9034,2.587336727916759,3
2012-03,JavaScript,33224,12057,2.7555776727212407,1
2012-03,Lua,3146,1273,2.4713275726630006,13
2012-03,Objective-C,8412,3115,2.700481540930979,9
2012-03,PHP,13373,5142,2.600739012057565,4
2012-03,Perl,5169,2123,2.4347621290626473,12
2012-03,Python,24644,9799,2.514950505153587,2
2012-03,R,5201,2197,2.3673190714610834,11
2012-03,Ruby,8903,3244,2.7444512946979036,8
2012-03,Scala,5227,2220,2.3545045045045043,10
2012-04,C,9002,3208,2.8061097256857854,9
2012-04,C#,10578,4135,2.5581620314389357,5
2012-04,C++,8793,3403,2.583896561857185,8
2012-04,Go,1327,533,2.4896810506566602,15
2012-04,Haskell,2143,860,2.4918604651162792,14
2012-04,Java,24678,9142,2.6994093196237148,3
2012-04,JavaScript,34816,13144,2.648813146682897,1
2012-04,Lua,3176,1341,2.3683818046234153,13
2012-04,Objective-C,7917,3422,2.3135593220338984,7
2012-04,PHP,14585,5732,2.5444870900209353,4
2012-04,Perl,5693,2232,2.550627240143369,12
2012-04,Python,25408,9749,2.6062160221561186,2
2012-04,R,5316,2266,2.345984112974404,11
2012-04,Ruby,9984,4068,2.454277286135693,6
2012-04,Scala,5666,2373,2.387694900969237,10
2012-05,C,9263,3378,2.7421551213735937,9
2012-05,C#,11068,4763,2.323745538526139,5
2012-05,C++,9265,3902,2.374423372629421,7
2012-05,Go,1782,769,2.317295188556567,15
2012-05,Haskell,2053,847,2.423848878394333,14
2012-05,Java,26294,9068,2.899647110719012,3
2012-05,JavaScript,34440,13049,2.6392827036554527,1
2012-05,Lua,3387,1390,2.4366906474820142,13
2012-05,Objective-C,8026,3477,2.3083117630140926,8
2012-05,PHP,15779,6223,2.535593765065081,4
2012-05,Perl,5778,2203,2.6227871084884247,12
2012-05,Python,25611,9823,2.607248294818284,2
2012-05,R,6021,2673,2.2525252525252526,10
2012-05,Ruby,10069,3968,2.5375504032258065,6
2012-05,Scala,6633,2391,2.7741530740276037,11
2012-06,C,9720,4016,2.4203187250996017,6
2012-06,C#,12127,4773,2.5407500523779594,5
2012-06,C++,9608,3991,2.4074166875469807,7
2012-06,Go,2425,994,2.4396378269617705,14
2012-06,Haskell,2423,993,2.4400805639476335,15
2012-06,Java,26742,10266,2.6049094097019285,3
2012-06,JavaScript,36380,12055,3.0178349232683535,1
2012-06,Lua,3299,1144,2.8837412587412588,13
2012-06,Objective-C,8087,2949,2.742285520515429,9
2012-06,PHP,15573,6057,2.5710747894997525,4
2012-06,Perl,5893,2667,2.209598800149981,11
2012-06,Python,25530,10489,2.433978453618076,2
2012-06,R,6064,2836,2.1382228490832156,10
2012-06,Ruby,10619,3926,2.7047885888945493,8
2012-06,Scala,6141,2619,2.3447880870561284,12
2012-07,C,9883,3957,2.4975991913065454,9
2012-07,C#,11939,4451,2.682318580094361,5
2012-07,C++,10176,4151,2.451457480125271,7
2012-07,Go,2987,1263,2.365003958828187,14
2012-07,Haskell,2562,1057,2.423841059602649,15
2012-07,Java,26213,9979,2.626816314259946,3
2012-07,JavaScript,36588,12847,2.8479800731688334,1
2012-07,Lua,3507,1363,2.5730007336757152,13
2012-07,Objective-C,9046,4006,2.2581128307538694,8
2012-07,PHP,15194,6764,2.2463039621525724,4
2012-07,Perl,6248,2953,2.11581442600745,10
2012-07,Python,27436,11578,2.369666609086198,2
2012-07,R,5969,2659,2.2448288830387364,12
2012-07,Ruby,10592,4325,2.4490173410404625,6
2012-07,Scala,6618,2660,2.48796992481203,11
2012-08,C,9762,4144,2.3556949806949805,8
2012-08,C#,12094,5090,2.376031434184676,5
2012-08,C++,10104,4240,2.383018867924528,6
2012-08,Go,3149,1332,2.364114114114114,14
2012-08,Haskell,2366,890,2.6584269662921347,15
2012-08,Java,25588,11310,2.262422634836428,2
2012-08,JavaScript,38883,14072,2.763146674246731,1
2012-08,Lua,3767,1511,2.4930509596293846,13
2012-08,Objective-C,8614,3672,2.3458605664488017,9
2012-08,PHP,17681,8216,2.1520204479065237,4
2012-08,Perl,6175,2623,2.354174609226077,10
2012-08,Python,28084,10626,2.642951251646904,3
2012-08,R,5991,2432,2.463404605263158,11
2012-08,Ruby,10405,4212,2.4703228869895537,7
2012-08,Scala,6468,2425,2.667216494845361,12
2012-09,C,10107,4088,2.472358121330724,8
2012-09,C#,12374,4820,2.5672199170124483,5
2012-09,C++,10808,4308,2.508820798514392,6
2012-09,Go,3583,1409,2.5429382540809082,14
2012-09,Haskell,2458,927,2.651564185544768,15
2012-09,Java,27439,11282,2.43210423683744,3
2012-09,JavaScript,38851,13327,2.915209724619194,1
2012-09,Lua,3533,1633,2.1635027556644215,13
2012-09,Objective-C,7966,3529,2.257296684613205,9
2012-09,PHP,16167,6260,2.5825878594249203,4
2012-09,Perl,6489,2422,2.679190751445087,12
2012-09,Python,30013,12886,2.3291168710228156,2
2012-09,R,6782,2587,2.6215693853884807,11
2012-09,Ruby,10456,4143,2.5237750422399228,7
2012-09,Scala,6923,2645,2.617391304347826,10
2012-10,C,9957,3608,2.75970066518847,8
2012-10,C#,13645,5646,2.4167552249380093,5
2012-10,C++,10968,4752,2.308080808080808,6
2012-10,Go,4015,1484,2.7055256064690028,14
2012-10,Haskell,2743,1071,2.561157796451914,15
2012-10,Java,28327,12144,2.332592226613966,2
2012-10,JavaScript,39831,13756,2.895536493166618,1
2012-10,Lua,3902,1670,2.336526946107784,13
2012-10,Objective-C,9050,3576,2.53076062639821,9
2012-10,PHP,16823,6112,2.7524541884816753,4
2012-10,Perl,6718,2677,2.5095255883451624,11
2012-10,Python,27935,10950,2.5511415525114156,3
2012-10,R,6888,2753,2.5019978205593896,10
2012-10,Ruby,10988,4328,2.5388170055452863,7
2012-10,Scala,6848,2533,2.7035136202131858,12
2012-10,TypeScript,1459,604,2.415562913907285,16
2012-11,C,10664,4609,2.3137339986981993,6
2012-11,C#,13628,5060,2.693280632411067,5
2012-11,C++,11113,4169,2.665627248740705,8
2012-11,Go,4407,1797,2.4524207011686143,13
2012-11,Haskell,2807,1166,2.4073756432246998,15
2012-11,Java,28989,10932,2.6517563117453347,3
2012-11,JavaScript,40689,15220,2.673390275952694,1
2012-11,Lua,4109,1694,2.425619834710744,14
2012-11,Objective-C,8951,3526,2.5385706182643224,9
2012-11,PHP,17634,7110,2.480168776371308,4
2012-11,Perl,6689,2626,2.5472201066260474,12
2012-11,Python,31181,13339,2.3375815278506633,2
2012-11,R,6415,2658,2.4134687735139204,11
2012-11,Ruby,10885,4297,2.533162671631371,7
2012-11,Scala,7447,3015,2.469983416252073,10
2012-11,TypeScript,2344,954,2.457023060796646,16
2012-12,C,10184,4041,2.520168275179411,7
2012-12,C#,13460,5372,2.505584512285927,5
2012-12,C++,12284,4445,2.76355455568054,6
2012-12,Go,4555,1782,2.5561167227833894,13
2012-12,Haskell,2711,1117,2.4270367054610564,15
2012-12,Java,30604,12003,2.5496959093559943,2
2012-12,JavaScript,43694,14496,3.014210816777042,1
2012-12,Lua,4035,1649,2.446937537901759,14
2012-12,Objective-C,8840,3341,2.6459143968871595,9
2012-12,PHP,17193,6915,2.4863340563991323,4
2012-12,Perl,6795,2577,2.6367869615832364,12
2012-12,Python,33122,11933,2.7756641246962204,3
2012-12,R,7643,3192,2.394423558897243,10
2012-12,Ruby,11730,3940,2.9771573604060912,8
2012-12,Scala,7745,2947,2.628096369189006,11
2012-12,TypeScript,2858,1064,2.68609022556391,16
2013-01,C,11075,4191,2.642567406346934,8
2013-01,C#,14504,5837,2.484838101764605,5
2013-01,C++,11187,4482,2.495983935742972,7
2013-01,Dart,624,267,2.337078651685393,17
2013-01,Go,5056,2166,2.3342566943674976,13
2013-01,Haskell,2780,1238,2.245557350565428,16
2013-01,Java,31472,12113,2.5982002806901674,3
2013-01,JavaScript,45757,18184,2.516333040035196,1
2013-01,Lua,4287,2017,2.1254338125929597,14
2013-01,Objective-C,9469,3888,2.4354423868312756,9
2013-01,PHP,19058,7521,2.5339715463369235,4
2013-01,Perl,7087,2983,2.375796178343949,11
2013-01,Python,34780,15764,2.2062928190814515,2
2013-01,R,7279,2709,2.686969361387966,12
2013-01,Ruby,12026,5174,2.3243138770776963,6
2013-01,Scala,7769,3054,2.5438768827766864,10
2013-01,TypeScript,3868,1634,2.3671970624235006,15
2013-02,C,12319,5554,2.2180410514944184,6
2013-02,C#,15575,5735,2.7157802964254576,5
2013-02,C++,12382,4800,2.5795833333333333,8
2013-02,Dart,1015,403,2.5186104218362284,17
2013-02,Go,5512,2247,2.4530485091232754,13
2013-02,Haskell,2901,1132,2.562720848056537,16
2013-02,Java,33049,12026,2.7481290537169465,3
2013-02,JavaScript,46402,16093,2.8833654383893617,1
2013-02,Lua,4444,1795,2.475766016713092,15
2013-02,Objective-C,9346,3359,2.7823757070556714,10
2013-02,PHP,18681,6907,2.7046474590994642,4
2013-02,Perl,7445,3020,2.4652317880794703,12
2013-02,Python,35822,14884,2.406745498521903,2
2013-02,R,7729,3122,2.4756566303651506,11
2013-02,Ruby,12735,5373,2.370184254606365,7
2013-02,Scala,8958,3710,2.41455525606469,9
2013-02,TypeScript,4651,1807,2.57387935805202,14
2013-03,C,11825,4168,2.837092130518234,8
2013-03,C#,16300,6811,2.3931874908236677,5
2013-03,C++,13232,4890,2.7059304703476483,7
2013-03,Dart,1431,521,2.746641074856046,17
2013-03,Go,6213,2485,2.5002012072434607,14
2013-03,Haskell,2758,1201,2.296419650291424,16
2013-03,Java,34409,12879,2.6717136423635375,3
2013-03,JavaScript,48401,19044,2.5415353917244277,1
2013-03,Lua,4594,1841,2.4953829440521456,15
2013-03,Objective-C,9835,3960,2.4835858585858586,9
2013-03,PHP,20195,8319,2.4275754297391514,4
2013-03,Perl,6419,2607,2.462217107786728,12
2013-03,Python,37616,14649,2.5678203290326986,2
2013-03,R,8068,3433,2.3501310806874454,11
2013-03,Ruby,13249,5172,2.5616782675947407,6
2013-03,Scala,8827,3503,2.519840137025407,10
2013-03,TypeScript,5774,2594,2.225905936777178,13
2013-04,C,12317,4824,2.5532752902155886,8
2013-04,C#,15688,5665,2.7692850838481906,5
2013-04,C++,13683,5072,2.6977523659305995,7
2013-04,Dart,1817,721,2.520110957004161,17
2013-04,Go,6413,2452,2.615415986949429,13
2013-04,Haskell,3298,1270,2.5968503937007874,16
2013-04,Java,35010,12821,2.7306762343030964,3
2013-04,JavaScript,48430,17581,2.7546783459416417,1
2013-04,Lua,4767,1955,2.4383631713554985,15
2013-04,Objective-C,10549,4412,2.390979147778785,9
2013-04,PHP,20884,8408,2.483824928639391,4
2013-04,Perl,7731,3091,2.501132319637658,12
2013-04,Python,40660,16749,2.4276076183652755,2
2013-04,R,8332,3344,2.4916267942583734,10
2013-04,Ruby,13743,5457,2.518416712479384,6
2013-04,Scala,8161,3110,2.6241157556270096,11
2013-04,TypeScript,6307,2405,2.6224532224532227,14
2013-05,C,12769,4963,2.5728390086641144,8
2013-05,C#,16225,6058,2.6782766589633544,5
2013-05,C++,13140,5192,2.5308166409861323,6
2013-05,Dart,2104,794,2.649874055415617,17
2013-05,Go,6583,2719,2.421110702464141,14
2013-05,Haskell,3365,1271,2.6475216365066876,16
2013-05,Java,34952,13446,2.5994347761416035,3
2013-05,JavaScript,51710,20910,2.47297943567671,1
2013-05,Lua,4869,2065,2.357869249394673,15
2013-05,Objective-C,10474,4025,2.6022360248447205,9
2013-05,PHP,21921,9039,2.4251576501825425,4
2013-05,Perl,7603,2918,2.605551747772447,12
2013-05,Python,41087,16399,2.5054576498566985,2
2013-05,R,8525,3252,2.6214637146371462,11
2013-05,Ruby,12778,5111,2.500097828213657,7
2013-05,Scala,9016,3731,2.4165103189493435,10
2013-05,TypeScript,7346,2873,2.556909154194222,13
2013-06,C,12694,5441,2.333027017092446,8
2013-06,C#,16723,6155,2.7169780666125103,5
2013-06,C++,13625,5475,2.4885844748858448,7
2013-06,Dart,2511,1062,2.364406779661017,17
2013-06,Go,7397,3000,2.4656666666666665,14
2013-06,Haskell,3586,1320,2.716666666666667,16
2013-06,Java,35042,14366,2.4392315188639846,3
2013-06,JavaScript,53140,19657,2.7033626697868445,1
2013-06,Lua,4901,2031,2.413096996553422,15
2013-06,Objective-C,10722,3670,2.9215258855585833,9
2013-06,PHP,21560,8727,2.4704938696000918,4
2013-06,Perl,8249,3252,2.536592865928659,11
2013-06,Python,39849,15997,2.4910295680440084,2
2013-06,R,8697,3223,2.698417623332299,12
2013-06,Ruby,13675,6047,2.261451959649413,6
2013-06,Scala,9150,3610,2.5346260387811634,10
2013-06,TypeScript,7754,3141,2.468640560331105,13
2013-07,C,13675,5207,2.6262723257153833,8
2013-07,C#,16108,7013,2.2968772280051333,5
2013-07,C++,13381,5620,2.380960854092527,6
2013-07,Dart,2718,1167,2.329048843187661,17
2013-07,Go,7628,2801,2.723313102463406,14
2013-07,Haskell,3577,1462,2.4466484268125854,16
2013-07,Java,36231,14876,2.4355337456305457,3
2013-07,JavaScript,53454,18497,2.8898740336270747,1
2013-07,Lua,5153,1929,2.671332296526698,15
2013-07,Objective-C,10669,4247,2.512126206734165,9
2013-07,PHP,19870,7371,2.695699362366029,4
2013-07,Perl,8066,3159,2.5533396644507755,13
2013-07,Python,41823,16223,2.5780065339333045,2
2013-07,R,9275,3687,2.515595334960673,11
2013-07,Ruby,13244,5385,2.4594243268337976,7
2013-07,Scala,9449,3834,2.46452790818988,10
2013-07,TypeScript,8540,3409,2.5051334702258727,12
2013-08,C,14379,5887,2.442500424664515,6
2013-08,C#,16371,6542,2.502445735249159,5
2013-08,C++,14139,5430,2.603867403314917,7
2013-08,Dart,3007,1189,2.5290159798149707,17
2013-08,Go,7995,3013,2.653501493528045,14
2013-08,Haskell,3451,1371,2.5171407731582787,16
2013-08,Java,36269,15770,2.299873176918199,3
2013-08,JavaScript,52926,17308,3.0578923041368156,2
2013-08,Lua,5024,1928,2.6058091286307055,15
2013-08,Objective-C,11000,4553,2.415989457500549,9
2013-08,PHP,20966,8154,2.5712533725778757,4
2013-08,Perl,7912,3164,2.5006321112515804,13
2013-08,Python,42163,19591,2.1521617069062327,1
2013-08,R,8770,3451,2.541292379020574,12
2013-08,Ruby,13456,5069,2.654566975734859,8
2013-08,Scala,9581,3623,2.6444935136627103,11
2013-08,TypeScript,8848,3816,2.3186582809224316,10
2013-09,C,13232,5769,2.293638412203155,7
2013-09,C#,16816,7065,2.3801840056617127,5
2013-09,C++,14505,5589,2.595276435856146,8
2013-09,Dart,3298,1272,2.592767295597484,17
2013-09,Go,8229,3355,2.452757078986587,12
2013-09,Haskell,3337,1277,2.6131558339859047,16
2013-09,Java,35141,14630,2.4019822282980177,3
2013-09,JavaScript,60908,21334,2.8549732820849347,1
2013-09,Lua,5152,2093,2.4615384615384617,15
2013-09,Objective-C,10226,3857,2.651283380865958,9
2013-09,PHP,20396,8163,2.498591204214137,4
2013-09,Perl,8162,2925,2.7904273504273505,14
2013-09,Python,38681,15094,2.5626739101629785,2
2013-09,R,9099,3333,2.72997299729973,13
2013-09,Ruby,15315,5994,2.555055055055055,6
2013-09,Scala,8651,3489,2.479507022069361,11
2013-09,TypeScript,9471,3746,2.5282968499733047,10
2013-10,C,13963,5334,2.6177352830896137,6
2013-10,C#,16396,6575,2.4936882129277564,5
2013-10,C++,13889,5156,2.693754848719938,8
2013-10,Dart,4062,1556,2.6105398457583546,16
2013-10,Go,8710,3683,2.3649199022535976,12
2013-10,Haskell,3456,1482,2.331983805668016,17
2013-10,Java,35703,14749,2.4207064885754965,3
2013-10,JavaScript,62510,24723,2.52841483638717,1
2013-10,Lua,5125,2119,2.418593676262388,15
2013-10,Objective-C,10299,3984,2.585090361445783,10
2013-10,PHP,21036,8211,2.5619291194738767,4
2013-10,Perl,7625,3283,2.322570819372525,14
2013-10,Python,40701,18820,2.162646121147715,2
2013-10,R,9506,3678,2.5845568243610657,13
2013-10,Ruby,13385,5190,2.5789980732177264,7
2013-10,Scala,9442,3912,2.41359918200409,11
2013-10,TypeScript,11099,4270,2.5992974238875877,9
2013-11,C,14725,5855,2.5149444918872756,8
2013-11,C#,17904,6484,2.76125848241826,5
2013-11,C++,15332,6315,2.427870150435471,6
2013-11,Dart,3967,1591,2.4934003771213074,16
2013-11,Go,8775,3350,2.6194029850746268,13
2013-11,Haskell,3849,1486,2.5901749663526243,17
2013-11,Java,36548,13455,2.7163136380527684,3
2013-11,JavaScript,59189,21993,2.691265402628109,1
2013-11,Lua,5462,2102,2.598477640342531,15
2013-11,Objective-C,9927,3819,2.599371563236449,11
2013-11,PHP,23046,8696,2.6501839926402946,4
2013-11,Perl,8245,3019,2.7310367671414375,14
2013-11,Python,44419,18463,2.4058387044358986,2
2013-11,R,9318,3924,2.374617737003058,10
2013-11,Ruby,14829,6095,2.4329778506972928,7
2013-11,Scala,8848,3563,2.4833005893909625,12
2013-11,TypeScript,11226,4688,2.3946245733788394,9
2013-12,C,14536,6171,2.355533949116837,8
2013-12,C#,17972,7939,2.2637611789897973,5
2013-12,C++,14992,6244,2.4010249839846254,7
2013-12,Dart,4485,1730,2.592485549132948,16
2013-12,Go,9667,3854,2.5083030617540216,12
2013-12,Haskell,3824,1424,2.6853932584269664,17
2013-12,Java,39190,14852,2.638701858335578,3
2013-12,JavaScript,63657,23225,2.740882669537137,1
2013-12,Lua,5809,2471,2.350870093079725,15
2013-12,Objective-C,10657,5008,2.1279952076677318,9
2013-12,PHP,23430,10071,2.326481977956509,4
2013-12,Perl,8107,3891,2.083526085839116,11
2013-12,Python,44570,20439,2.1806350604237,2
2013-12,R,9116,3702,2.4624527282549975,14
