year,language,avg_share_pct,avg_push_events,avg_unique_actors
2019,C,3.4703,30485.75,12378.583333333334
2019,C#,4.7981,42129.166666666664,16296.333333333334
2019,C++,4.2903,37689.75,14876.416666666666
2019,Dart,4.4498,39094.666666666664,15602.083333333334
2019,Go,4.8888,42932.833333333336,17306.166666666668
2019,Haskell,1.0273,9024.0,3679.75
2019,Java,8.4536,74244.16666666667,28860.166666666668
2019,JavaScript,18.1122,159083.5,57616.25
2019,Julia,2.1247,18668.25,7594.583333333333
2019,Kotlin,2.8254,24806.666666666668,10205.0
2019,Lua,1.4012,12308.416666666666,4970.916666666667
2019,Objective-C,0.71,6221.666666666667,2513.8333333333335
2019,PHP,3.4175,29995.5,11901.25
2019,Perl,1.059,9292.083333333334,3682.1666666666665
2019,Python,14.9352,131212.41666666666,52695.0
2019,R,2.8119,24704.75,9902.75
2019,Ruby,1.795,15746.083333333334,6263.666666666667
2019,Rust,3.5319,31036.666666666668,14295.25
2019,Scala,2.158,18951.333333333332,7683.916666666667
2019,Swift,2.6284,23087.25,9234.833333333334
2019,TypeScript,11.1113,97604.66666666667,41132.666666666664
2020,C,3.3537,33149.833333333336,13281.583333333334
2020,C#,4.6658,46116.5,19651.416666666668
2020,C++,4.3091,42596.583333333336,17239.583333333332
2020,Dart,4.4903,44396.25,17727.5
2020,Go,4.9973,49424.666666666664,20028.666666666668
2020,Haskell,1.0366,10251.666666666666,4215.5
2020,Java,8.2665,81703.66666666667,31065.083333333332
2020,JavaScript,18.5409,183325.0,64945.0
2020,Julia,2.158,21335.916666666668,8801.833333333334
2020,Kotlin,2.9028,28704.916666666668,11486.833333333334
2020,Lua,1.3685,13527.083333333334,5479.416666666667
2020,Objective-C,0.3302,3248.25,1281.0833333333333
2020,PHP,2.9713,29350.75,11797.666666666666
2020,Perl,0.8471,8365.583333333334,3442.5
2020,Python,15.7175,155310.83333333334,61787.0
2020,R,2.8515,28199.333333333332,11327.5
2020,Ruby,1.4541,14355.833333333334,5896.5
2020,Rust,3.6076,35669.666666666664,17721.75
2020,Scala,2.0733,20488.75,7977.333333333333
2020,Swift,2.6553,26250.083333333332,10383.333333333334
2020,TypeScript,11.4027,112750.41666666667,46909.666666666664
2021,C,3.3504,36876.583333333336,15225.166666666666
2021,C#,4.5519,50079.583333333336,20003.583333333332
2021,C++,4.3047,47368.083333333336,19157.416666666668
2021,Dart,4.6636,51316.416666666664,20450.416666666668
2021,Go,5.1864,57073.666666666664,22710.083333333332
2021,Haskell,1.0329,11362.583333333334,4653.666666666667
2021,Java,7.9182,87175.08333333333,35006.833333333336
2021,JavaScript,18.9334,208339.16666666666,73359.16666666667
2021,Julia,2.2357,24609.583333333332,9712.583333333334
2021,Kotlin,2.9378,32330.833333333332,12523.416666666666
2021,Lua,1.3765,15148.25,6060.0
2021,Objective-C,0.0703,755.4,310.4
2021,PHP,2.5549,28095.166666666668,11705.666666666666
2021,Perl,0.6343,6972.5,2848.6666666666665
2021,Python,15.8298,174190.16666666666,69096.25
2021,R,2.9526,32486.333333333332,13028.666666666666
2021,Ruby,1.126,12375.5,4903.833333333333
2021,Rust,3.8221,42066.75,20517.25
2021,Scala,2.0153,22170.083333333332,8881.0
2021,Swift,2.6864,29569.333333333332,11498.583333333334
2021,TypeScript,11.8576,130570.66666666667,53793.833333333336
2022,C,3.2628,39602.083333333336,15762.333333333334
2022,C#,4.4682,54230.833333333336,21741.25
2022,C++,4.2545,51657.416666666664,20896.833333333332
2022,Dart,4.7749,57962.75,22967.833333333332
2022,Go,5.3243,64628.833333333336,25392.916666666668
2022,Haskell,1.0369,12587.5,5056.916666666667
2022,Java,7.5005,91046.83333333333,34890.916666666664
2022,JavaScript,19.3415,234813.5,83013.75
2022,Julia,2.2475,27288.75,10857.833333333334
2022,Kotlin,2.9078,35302.166666666664,14310.083333333334
2022,Lua,1.3359,16222.083333333334,6382.916666666667
2022,PHP,2.0643,25054.666666666668,9949.25
2022,Perl,0.4484,5435.666666666667,2180.5
2022,Python,16.288,197809.91666666666,82659.25
2022,R,2.8698,34846.416666666664,13733.75
2022,Ruby,0.7629,9251.416666666666,3646.4166666666665
2022,Rust,3.9471,47912.333333333336,22863.666666666668
2022,Scala,1.8595,22575.0,9221.583333333334
2022,Swift,2.6665,32373.333333333332,13240.833333333334
2022,TypeScript,12.6387,153480.58333333334,63821.25
2023,C,3.1123,41365.416666666664,16528.916666666668
2023,C#,4.3722,58124.833333333336,23642.25
2023,C++,4.2059,55925.25,21967.666666666668
2023,Dart,4.9157,65332.333333333336,25902.5
2023,Go,5.4803,72832.5,28919.0
2023,Haskell,1.0241,13610.083333333334,5446.0
2023,Java,7.1293,94737.5,35631.0
2023,JavaScript,19.359,257272.41666666666,91748.25
2023,Julia,2.3313,30980.166666666668,12362.25
2023,Kotlin,2.9086,38664.833333333336,15856.416666666666
2023,Lua,1.308,17389.75,6961.25
2023,PHP,1.5922,21153.0,8405.916666666666
2023,Perl,0.2506,3324.5833333333335,1319.0833333333333
2023,Python,16.9897,225819.66666666666,91246.41666666667
2023,R,2.8689,38141.333333333336,15354.25
2023,Ruby,0.444,5888.916666666667,2329.9166666666665
2023,Rust,4.1029,54550.083333333336,26158.25
2023,Scala,1.8179,24159.166666666668,9815.083333333334
2023,Swift,2.7156,36096.583333333336,14161.833333333334
2023,TypeScript,13.0717,173804.83333333334,71846.58333333333
2024,C,3.0713,44393.833333333336,17381.083333333332
2024,C#,4.4434,64209.916666666664,26280.083333333332
2024,C++,4.2249,61071.916666666664,23965.833333333332
2024,Dart,5.0007,72312.58333333333,29248.916666666668
2024,Go,5.4221,78388.58333333333,30805.583333333332
2024,Haskell,1.0347,14962.25,6003.666666666667
2024,Java,6.8905,99647.25,38398.75
2024,JavaScript,19.4767,281531.8333333333,104806.08333333333
2024,Julia,2.374,34323.583333333336,13793.25
2024,Kotlin,2.9852,43149.0,17477.916666666668
2024,Lua,1.3255,19159.25,7820.333333333333
2024,PHP,1.2323,17805.083333333332,7124.333333333333
2024,Perl,0.0807,1160.9,486.0
2024,Python,17.2758,249753.91666666666,101396.0
2024,R,2.9068,42010.333333333336,16670.416666666668
2024,Ruby,0.14,2013.3,831.6
2024,Rust,4.2488,61463.5,28819.083333333332
2024,Scala,1.6809,24300.583333333332,9599.833333333334
2024,Swift,2.7554,39829.0,15994.0
2024,TypeScript,13.4672,194702.08333333334,83929.33333333333
