month,language,push_events,unique_actors,month_total,share,share_pct
2011-05,Ruby,6218,2510,96950,0.0641361526560082,6.413615265600825
2011-05,Scala,3644,1461,96950,0.0375863847343991,3.758638473439917
2011-06,C,5223,2077,101701,0.0513564271737741,5.135642717377411
2011-06,C#,6428,2596,101701,0.0632048849077197,6.32048849077197
2011-06,C++,5657,2217,101701,0.0556238385069959,5.562383850699599
2011-06,Haskell,1360,574,101701,0.0133725332100962,1.3372533210096262
2011-06,Java,14903,5733,101701,0.1465373988456357,14.653739884563574
2011-06,JavaScript,19319,6669,101701,0.1899588007984189,18.99588007984189
2011-06,Lua,1886,813,101701,0.0185445570840011,1.8544557084001136
2011-06,Objective-C,5085,2142,101701,0.0499995083627496,4.999950836274962
2011-06,PHP,9474,3494,101701,0.0931554262003323,9.315542620033234
2011-06,Perl,3473,1417,101701,0.0341491234107825,3.4149123410782587
2011-06,Python,15206,6229,101701,0.1495167205828851,14.951672058288512
2011-06,R,3437,1378,101701,0.0337951445905153,3.3795144590515336
2011-06,Ruby,6324,2435,101701,0.0621822794269476,6.218227942694762
2011-06,Scala,3926,1790,101701,0.0386033568991455,3.8603356899145536
2011-07,C,5880,2375,106080,0.0554298642533936,5.542986425339366
2011-07,C#,6597,2759,106080,0.0621889140271493,6.218891402714933
2011-07,C++,5873,2445,106080,0.0553638763197586,5.536387631975867
2011-07,Haskell,1311,575,106080,0.0123585972850678,1.2358597285067874
2011-07,Java,15532,5585,106080,0.1464177978883861,14.641779788838614
2011-07,JavaScript,21262,7841,106080,0.2004336349924585,20.043363499245853
2011-07,Lua,2181,975,106080,0.0205599547511312,2.055995475113122
2011-07,Objective-C,5925,2383,106080,0.05585407239819,5.585407239819005
2011-07,PHP,10070,4623,106080,0.0949283559577677,9.492835595776771
2011-07,Perl,3566,1264,106080,0.0336161387631975,3.3616138763197587
2011-07,Python,14245,5592,106080,0.1342854449472096,13.428544494720963
2011-07,R,3424,1445,106080,0.0322775263951734,3.227752639517346
2011-07,Ruby,6338,2707,106080,0.0597473604826546,5.97473604826546
2011-07,Scala,3876,1601,106080,0.0365384615384615,3.653846153846154
2011-08,C,6287,2529,110425,0.0569345709757754,5.693457097577541
2011-08,C#,6739,2695,110425,0.0610278469549468,6.10278469549468
2011-08,C++,5858,2449,110425,0.0530495811636857,5.304958116368576
2011-08,Haskell,1406,524,110425,0.0127326239529092,1.2732623952909214
2011-08,Java,17539,6725,110425,0.1588317862802807,15.883178628028077
2011-08,JavaScript,20870,7392,110425,0.1889970568258999,18.899705682589996
2011-08,Lua,2162,926,110425,0.0195788997056825,1.9578899705682589
2011-08,Objective-C,5554,2328,110425,0.0502965813900837,5.029658139008377
2011-08,PHP,10495,4119,110425,0.095041883631424,9.504188363142404
2011-08,Perl,4148,1633,110425,0.0375639574371745,3.756395743717456
2011-08,Python,15169,5942,110425,0.1373692551505546,13.736925515055468
2011-08,R,3567,1394,110425,0.0323024677382839,3.23024677382839
2011-08,Ruby,6775,2407,110425,0.0613538600860312,6.135386008603124
2011-08,Scala,3856,1409,110425,0.0349196287072673,3.491962870726738
2011-09,C,6089,2259,115195,0.0528581969703546,5.285819697035462
2011-09,C#,7030,2822,115195,0.0610269542948912,6.102695429489128
2011-09,C++,6049,2582,115195,0.0525109596770693,5.251095967706932
2011-09,Haskell,1395,543,115195,0.0121099006033247,1.2109900603324797
2011-09,Java,17484,6854,115195,0.1517774208950041,15.177742089500413
2011-09,JavaScript,23549,9163,115195,0.2044272754893875,20.442727548938755
2011-09,Lua,2194,794,115195,0.0190459655366986,1.904596553669864
2011-09,Objective-C,5845,2277,115195,0.0507400494813142,5.07400494813143
2011-09,PHP,10787,4403,115195,0.0936412170667129,9.364121706671297
2011-09,Perl,4417,1683,115195,0.0383436781110291,3.834367811102912
2011-09,Python,15357,5840,115195,0.1333130778245583,13.331307782455838
2011-09,R,3786,1414,115195,0.0328660098094535,3.2866009809453534
2011-09,Ruby,7024,2714,115195,0.0609748687008984,6.097486870089848
2011-09,Scala,4189,1517,115195,0.0363644255393029,3.636442553930292
2011-10,C,6667,2655,120807,0.0551871994172523,5.518719941725231
2011-10,C#,7376,2846,120807,0.0610560646320163,6.105606463201636
2011-10,C++,6670,3093,120807,0.0552120324153401,5.5212032415340175
2011-10,Haskell,1507,666,120807,0.0124744427061345,1.247444270613458
2011-10,Java,17130,6176,120807,0.1417964190816757,14.179641908167572
2011-10,JavaScript,24117,8934,120807,0.1996324716282997,19.96324716282997
2011-10,Lua,2270,876,120807,0.01879030188648,1.879030188648009
2011-10,Objective-C,6151,2550,120807,0.0509159237461405,5.091592374614054
2011-10,PHP,11015,4326,120807,0.0911784913125895,9.11784913125895
2011-10,Perl,4096,1505,120807,0.033905320055957,3.390532005595702
2011-10,Python,17370,6820,120807,0.1437830589287044,14.378305892870449
2011-10,R,4206,1920,120807,0.0348158633191785,3.481586331917853
2011-10,Ruby,7887,3078,120807,0.0652859519729817,6.52859519729817
2011-10,Scala,4345,1584,120807,0.0359664588972493,3.596645889724933
2011-11,C,6724,3057,127526,0.0527265028307952,5.272650283079529
2011-11,C#,8471,3279,127526,0.0664256700594388,6.642567005943886
2011-11,C++,6838,2400,127526,0.0536204381851544,5.36204381851544
2011-11,Haskell,1654,715,127526,0.0129699041764032,1.2969904176403244
2011-11,Java,17988,6598,127526,0.1410535890720323,14.105358907203236
2011-11,JavaScript,25939,8648,127526,0.2034016592694823,20.34016592694823
2011-11,Lua,2358,1043,127526,0.0184903470664805,1.849034706648056
2011-11,Objective-C,6022,2233,127526,0.0472217430171102,4.722174301711023
2011-11,PHP,11616,4704,127526,0.0910873076862757,9.108730768627574
2011-11,Perl,4469,1977,127526,0.0350438341985163,3.504383419851638
2011-11,Python,18865,7177,127526,0.1479306180700406,14.793061807004063
2011-11,R,4408,1751,127526,0.0345655003685522,3.456550036855229
2011-11,Ruby,7557,2757,127526,0.0592585041481737,5.92585041481737
2011-11,Scala,4617,1898,127526,0.0362043818515439,3.6204381851544
2011-12,C,7066,2946,135347,0.0522065505700163,5.220655057001633
2011-12,C#,8321,3609,135347,0.0614790132031001,6.147901320310019
2011-12,C++,6705,2943,135347,0.049539332234922,4.953933223492209
2011-12,Haskell,1744,700,135347,0.0128853982725882,1.2885398272588235
2011-12,Java,20338,8838,135347,0.1502656135710433,15.026561357104333
2011-12,JavaScript,26667,9584,135347,0.1970269012242606,19.702690122426063
2011-12,Lua,2716,1006,135347,0.0200669390529527,2.006693905295278
2011-12,Objective-C,6690,2511,135347,0.0494285059883115,4.942850598831153
2011-12,PHP,12373,5754,135347,0.0914168766208338,9.141687662083385
2011-12,Perl,4738,1752,135347,0.0350063170960568,3.5006317096056803
2011-12,Python,20262,7720,135347,0.1497040939215498,14.97040939215498
2011-12,R,4469,1766,135347,0.0330188330735073,3.301883307350736
2011-12,Ruby,8382,3208,135347,0.0619297066059831,6.192970660598314
2011-12,Scala,4876,1984,135347,0.0360259185648739,3.602591856487399
2012-01,C,8196,3344,143976,0.0569261543590598,5.692615435905984
2012-01,C#,9029,3687,143976,0.0627118408623659,6.271184086236595
2012-01,C++,7726,3390,143976,0.0536617213980107,5.366172139801078
2012-01,Haskell,1828,650,143976,0.0126965605378674,1.269656053786742
2012-01,Java,20664,7385,143976,0.1435239206534422,14.352392065344224
2012-01,JavaScript,29079,10205,143976,0.20197116186031,20.197116186031007
2012-01,Lua,2665,954,143976,0.0185100294493526,1.851002944935267
2012-01,Objective-C,6822,2672,143976,0.0473828971495249,4.738289714952492
2012-01,PHP,13436,5050,143976,0.0933211090737345,9.332110907373451
2012-01,Perl,4993,1988,143976,0.0346793910096127,3.4679391009612712
2012-01,Python,20648,8083,143976,0.1434127910207256,14.34127910207257
2012-01,R,4662,1879,143976,0.0323803967327888,3.23803967327888
2012-01,Ruby,8715,3267,143976,0.0605309218203033,6.053092182030338
2012-01,Scala,5513,2155,143976,0.038291104072901,3.829110407290104
2012-02,C,7667,3050,152888,0.0501478206268641,5.014782062686411
2012-02,C#,9964,3448,152888,0.0651718905342473,6.51718905342473
2012-02,C++,8502,3355,152888,0.0556093349379938,5.560933493799382
2012-02,Haskell,2014,848,152888,0.0131730417037308,1.3173041703730837
2012-02,Java,21847,8399,152888,0.14289545288054,14.289545288054
2012-02,JavaScript,30819,10413,152888,0.2015789335984511,20.157893359845115
2012-02,Lua,2926,1140,152888,0.0191381926639108,1.913819266391084
2012-02,Objective-C,7244,3039,152888,0.0473810894249385,4.738108942493851
2012-02,PHP,13353,4918,152888,0.0873384438281617,8.733844382816178
2012-02,Perl,5240,2015,152888,0.0342734550782272,3.42734550782272
2012-02,Python,24026,10317,152888,0.1571477159750929,15.714771597509287
2012-02,R,5160,2085,152888,0.033750196222071,3.375019622207106
2012-02,Ruby,8690,3358,152888,0.0568389932499607,5.683899324996076
2012-02,Scala,5436,2181,152888,0.0355554392758097,3.5555439275809744
2012-03,C,8437,3520,161445,0.0522592833472699,5.225928334726997
2012-03,C#,10282,3926,161445,0.0636873238564216,6.3687323856421685
2012-03,C++,9147,3584,161445,0.056657065873827,5.6657065873827
2012-03,Go,862,327,161445,0.005339279630834,0.5339279630834031
2012-03,Haskell,2044,754,161445,0.012660658428567,1.2660658428567004
2012-03,Java,23374,9034,161445,0.1447799560221747,14.477995602217472
2012-03,JavaScript,33224,12057,161445,0.2057914460032828,20.579144600328288
2012-03,Lua,3146,1273,161445,0.0194865124345752,1.948651243457524
2012-03,Objective-C,8412,3115,161445,0.0521044318498559,5.210443184985599
2012-03,PHP,13373,5142,161445,0.0828331629966861,8.283316299668618
2012-03,Perl,5169,2123,161445,0.0320170956053145,3.2017095605314503
2012-03,Python,24644,9799,161445,0.1526464120908049,15.264641209080493
2012-03,R,5201,2197,161445,0.0322153055220044,3.22153055220044
2012-03,Ruby,8903,3244,161445,0.0551457152590665,5.514571525906656
2012-03,Scala,5227,2220,161445,0.0323763510793149,3.2376351079314936
2012-04,C,9002,3208,169082,0.0532404395500408,5.324043955004081
2012-04,C#,10578,4135,169082,0.062561360759868,6.2561360759868
2012-04,C++,8793,3403,169082,0.0520043529175193,5.200435291751931
2012-04,Go,1327,533,169082,0.0078482629729953,0.7848262972995351
2012-04,Haskell,2143,860,169082,0.0126743237009261,1.2674323700926178
2012-04,Java,24678,9142,169082,0.1459528512792609,14.595285127926092
2012-04,JavaScript,34816,13144,169082,0.2059119243917152,20.591192439171525
2012-04,Lua,3176,1341,169082,0.0187837853822405,1.878378538224057
2012-04,Objective-C,7917,3422,169082,0.0468234347831229,4.682343478312298
2012-04,PHP,14585,5732,169082,0.0862599212216557,8.625992122165577
2012-04,Perl,5693,2232,169082,0.0336700535834683,3.367005358346838
2012-04,Python,25408,9749,169082,0.1502702830579245,15.027028305792456
2012-04,R,5316,2266,169082,0.0314403662128434,3.144036621284347
2012-04,Ruby,9984,4068,169082,0.0590482724358595,5.904827243585952
2012-04,Scala,5666,2373,169082,0.0335103677505589,3.35103677505589
2012-05,C,9263,3378,175469,0.0527899515014048,5.278995150140481
2012-05,C#,11068,4763,175469,0.0630766688132946,6.307666881329466
2012-05,C++,9265,3902,175469,0.0528013495261271,5.280134952612713
2012-05,Go,1782,769,175469,0.0101556400275832,1.015564002758322
2012-05,Haskell,2053,847,175469,0.0117000723774569,1.1700072377456987
2012-05,Java,26294,9068,175469,0.1498498310242834,14.984983102428348
2012-05,JavaScript,34440,13049,175469,0.196273985718275,19.627398571827506
2012-05,Lua,3387,1390,175469,0.0193025548672415,1.9302554867241508
2012-05,Objective-C,8026,3477,175469,0.0457402732106525,4.574027321065259
2012-05,PHP,15779,6223,175469,0.0899247160467091,8.99247160467091
2012-05,Perl,5778,2203,175469,0.0329288934227698,3.292889342276984
2012-05,Python,25611,9823,175469,0.1459574055816127,14.595740558161271
2012-05,R,6021,2673,175469,0.0343137534265311,3.431375342653118
2012-05,Ruby,10069,3968,175469,0.057383355464498,5.7383355464498
2012-05,Scala,6633,2391,175469,0.0378015489915597,3.780154899155976
2012-06,C,9720,4016,180631,0.0538113612835006,5.381136128350061
2012-06,C#,12127,4773,180631,0.0671368701939312,6.713687019393127
2012-06,C++,9608,3991,180631,0.0531913126761187,5.319131267611872
2012-06,Go,2425,994,180631,0.0134251595794741,1.3425159579474175
2012-06,Haskell,2423,993,180631,0.0134140872829137,1.3414087282913787
2012-06,Java,26742,10266,180631,0.148047677308989,14.804767730898904
2012-06,JavaScript,36380,12055,180631,0.2014050744335136,20.140507443351364
2012-06,Lua,3299,1144,180631,0.018263753176365,1.826375317636508
2012-06,Objective-C,8087,2949,180631,0.0447708311419413,4.47708311419413
2012-06,PHP,15573,6057,180631,0.0862144371674851,8.62144371674851
2012-06,Perl,5893,2667,180631,0.0326245218151923,3.26245218151923
2012-06,Python,25530,10489,180631,0.141337865593392,14.133786559339208
2012-06,R,6064,2836,180631,0.0335712031711057,3.357120317110573
2012-06,Ruby,10619,3926,180631,0.0587883585873964,5.878835858739641
2012-06,Scala,6141,2619,180631,0.0339974865886807,3.399748658868079
2012-07,C,9883,3957,184958,0.0534337525276008,5.343375252760086
2012-07,C#,11939,4451,184958,0.0645497896819818,6.454978968198185
2012-07,C++,10176,4151,184958,0.0550178959547573,5.50178959547573
2012-07,Go,2987,1263,184958,0.0161496123444241,1.614961234442414
2012-07,Haskell,2562,1057,184958,0.0138517933801187,1.3851793380118729
2012-07,Java,26213,9979,184958,0.1417240670855005,14.172406708550051
2012-07,JavaScript,36588,12847,184958,0.1978178829788384,19.781788297883843
2012-07,Lua,3507,1363,184958,0.0189610614301625,1.8961061430162525
2012-07,Objective-C,9046,4006,184958,0.0489084008261335,4.89084008261335
2012-07,PHP,15194,6764,184958,0.0821483796321327,8.21483796321327
2012-07,Perl,6248,2953,184958,0.0337806420917181,3.378064209171812
2012-07,Python,27436,11578,184958,0.1483363790698428,14.833637906984286
2012-07,R,5969,2659,184958,0.0322721915245623,3.227219152456233
2012-07,Ruby,10592,4325,184958,0.057267055223348,5.7267055223348
2012-07,Scala,6618,2660,184958,0.0357810962488781,3.5781096248878126
2012-08,C,9762,4144,189131,0.0516150181620146,5.1615018162014685
2012-08,C#,12094,5090,189131,0.0639450962560341,6.394509625603417
2012-08,C++,10104,4240,189131,0.053423288620057,5.3423288620057
2012-08,Go,3149,1332,189131,0.0166498352993427,1.6649835299342786
2012-08,Haskell,2366,890,189131,0.0125098476717196,1.25098476717196
2012-08,Java,25588,11310,189131,0.1352924692408965,13.529246924089652
2012-08,JavaScript,38883,14072,189131,0.2055876614621611,20.558766146216115
2012-08,Lua,3767,1511,189131,0.0199174117410683,1.991741174106836
2012-08,Objective-C,8614,3672,189131,0.0455451512443755,4.554515124437559
2012-08,PHP,17681,8216,189131,0.0934854677445791,9.348546774457915
2012-08,Perl,6175,2623,189131,0.0326493277146528,3.264932771465281
2012-08,Python,28084,10626,189131,0.148489671180293,14.848967118029302
2012-08,R,5991,2432,189131,0.0316764570588639,3.167645705886396
2012-08,Ruby,10405,4212,189131,0.055014778116755,5.501477811675505
2012-08,Scala,6468,2425,189131,0.0341985184871861,3.4198518487186127
2012-09,C,10107,4088,193949,0.0521116375954503,5.211163759545035
2012-09,C#,12374,4820,193949,0.0638002773925104,6.38002773925104
2012-09,C++,10808,4308,193949,0.0557259898220666,5.572598982206663
2012-09,Go,3583,1409,193949,0.0184739287132184,1.8473928713218424
2012-09,Haskell,2458,927,193949,0.0126734347689341,1.2673434768934102
2012-09,Java,27439,11282,193949,0.1414753362997489,14.14753362997489
2012-09,JavaScript,38851,13327,193949,0.200315546870569,20.031554687056907
2012-09,Lua,3533,1633,193949,0.0182161289823613,1.8216128982361344
2012-09,Objective-C,7966,3529,193949,0.0410726531201501,4.107265312015014
2012-09,PHP,16167,6260,193949,0.0833569649753285,8.335696497532856
2012-09,Perl,6489,2422,193949,0.0334572490706319,3.3457249070631967
2012-09,Python,30013,12886,193949,0.1547468664442714,15.474686644427145
2012-09,R,6782,2587,193949,0.0349679554934544,3.4967955493454466
2012-09,Ruby,10456,4143,193949,0.0539110797168327,5.391107971683278
2012-09,Scala,6923,2645,193949,0.0356949507344714,3.569495073447144
2012-10,C,9957,3608,200097,0.0497608659799997,4.97608659799997
2012-10,C#,13645,5646,200097,0.068191926915446,6.819192691544601
2012-10,C++,10968,4752,200097,0.0548134154934856,5.481341549348566
2012-10,Go,4015,1484,200097,0.0200652683448527,2.0065268344852747
2012-10,Haskell,2743,1071,200097,0.0137083514495469,1.370835144954697
2012-10,Java,28327,12144,200097,0.1415663403249424,14.15663403249424
2012-10,JavaScript,39831,13756,200097,0.1990584566485254,19.90584566485255
2012-10,Lua,3902,1670,200097,0.019500542237015,1.9500542237015048
2012-10,Objective-C,9050,3576,200097,0.0452280643887714,4.5228064388771445
2012-10,PHP,16823,6112,200097,0.0840742240013593,8.407422400135935
2012-10,Perl,6718,2677,200097,0.0335737167473775,3.3573716747377524
2012-10,Python,27935,10950,200097,0.1396072904641249,13.96072904641249
2012-10,R,6888,2753,200097,0.0344233046972218,3.4423304697221844
2012-10,Ruby,10988,4328,200097,0.0549133670169967,5.491336701699676
2012-10,Scala,6848,2533,200097,0.0342234016501996,3.422340165019965
2012-10,TypeScript,1459,604,200097,0.0072914636401345,0.7291463640134535
2012-11,C,10664,4609,207952,0.0512810648611218,5.12810648611218
2012-11,C#,13628,5060,207952,0.0655343540817111,6.553435408171117
2012-11,C++,11113,4169,207952,0.0534402169731476,5.344021697314765
2012-11,Go,4407,1797,207952,0.0211923905516657,2.119239055166577
2012-11,Haskell,2807,1166,207952,0.013498307301685,1.3498307301685004
2012-11,Java,28989,10932,207952,0.1394023620835577,13.940236208355774
2012-11,JavaScript,40689,15220,207952,0.195665345849042,19.566534584904208
2012-11,Lua,4109,1694,207952,0.0197593675463568,1.9759367546356847
2012-11,Objective-C,8951,3526,207952,0.0430435869816111,4.304358698161114
2012-11,PHP,17634,7110,207952,0.0847984150188505,8.479841501885051
2012-11,Perl,6689,2626,207952,0.0321660767869508,3.2166076786950835
2012-11,Python,31181,13339,207952,0.1499432561360314,14.99432561360314
2012-11,R,6415,2658,207952,0.0308484650303916,3.084846503039163
2012-11,Ruby,10885,4297,207952,0.0523438101100253,5.234381011002539
2012-11,Scala,7447,3015,207952,0.0358111487266292,3.5811148726629223
2012-11,TypeScript,2344,954,207952,0.0112718319612218,1.127183196122182
2012-12,C,10184,4041,217453,0.0468331087637328,4.683310876373286
2012-12,C#,13460,5372,217453,0.0618984332246508,6.189843322465085
2012-12,C++,12284,4445,217453,0.056490368033552,5.649036803355208
2012-12,Go,4555,1782,217453,0.0209470552257269,2.094705522572694
2012-12,Haskell,2711,1117,217453,0.0124670618478475,1.246706184784758
2012-12,Java,30604,12003,217453,0.1407384584254988,14.073845842549884
2012-12,JavaScript,43694,14496,217453,0.2009353745407053,20.093537454070532
2012-12,Lua,4035,1649,217453,0.018555733882724,1.8555733882724084
2012-12,Objective-C,8840,3341,217453,0.0406524628310485,4.065246283104855
2012-12,PHP,17193,6915,217453,0.0790653612504771,7.906536125047711
2012-12,Perl,6795,2577,217453,0.0312481317802007,3.124813178020078
2012-12,Python,33122,11933,217453,0.1523179721595011,15.231797215950111
2012-12,R,7643,3192,217453,0.0351478250472515,3.5147825047251597
2012-12,Ruby,11730,3940,217453,0.0539426910642759,5.394269106427596
2012-12,Scala,7745,2947,217453,0.0356168919260713,3.5616891926071386
2012-12,TypeScript,2858,1064,217453,0.0131430699967349,1.3143069996734926
2013-01,C,11075,4191,228078,0.0485579494734257,4.855794947342576
2013-01,C#,14504,5837,228078,0.0635922798340918,6.359227983409185
2013-01,C++,11187,4482,228078,0.0490490095493646,4.904900954936469
2013-01,Dart,624,267,228078,0.002735906137374,0.2735906137374056
2013-01,Go,5056,2166,228078,0.0221678548566718,2.216785485667184
2013-01,Haskell,2780,1238,228078,0.0121888125991985,1.218881259919852
2013-01,Java,31472,12113,228078,0.1379878813388402,13.79878813388402
2013-01,JavaScript,45757,18184,228078,0.2006199633458729,20.06199633458729
2013-01,Lua,4287,2017,228078,0.0187962012995554,1.8796201299555413
2013-01,Objective-C,9469,3888,228078,0.0415164987416585,4.151649874165855
2013-01,PHP,19058,7521,228078,0.0835591332789659,8.355913327896596
2013-01,Perl,7087,2983,228078,0.0310727031980287,3.107270319802874
2013-01,Python,34780,15764,228078,0.1524916914388937,15.249169143889372
2013-01,R,7279,2709,228078,0.0319145204710669,3.191452047106692
2013-01,Ruby,12026,5174,228078,0.0527275756539429,5.272757565394294
2013-01,Scala,7769,3054,228078,0.0340629083032997,3.406290830329975
2013-01,TypeScript,3868,1634,228078,0.0169591104797481,1.6959110479748158
2013-02,C,12319,5554,238966,0.0515512667073977,5.1551266707397705
2013-02,C#,15575,5735,238966,0.0651766360067959,6.517663600679595
2013-02,C++,12382,4800,238966,0.0518149025384364,5.181490253843643
2013-02,Dart,1015,403,238966,0.004247466166735,0.4247466166735016
2013-02,Go,5512,2247,238966,0.023066042868023,2.3066042868023064
2013-02,Haskell,2901,1132,238966,0.0121398023149736,1.213980231497368
2013-02,Java,33049,12026,238966,0.1383000092063306,13.83000092063306
2013-02,JavaScript,46402,16093,238966,0.194178251299348,19.4178251299348
2013-02,Lua,4444,1795,238966,0.018596787827557,1.8596787827557055
2013-02,Objective-C,9346,3359,238966,0.0391101662998083,3.9110166299808338
2013-02,PHP,18681,6907,238966,0.0781743009465781,7.8174300946578175
2013-02,Perl,7445,3020,238966,0.031155059715608,3.115505971560808
2013-02,Python,35822,14884,238966,0.1499041704677653,14.99041704677653
2013-02,R,7729,3122,238966,0.0323435133031477,3.2343513303147726
2013-02,Ruby,12735,5373,238966,0.0532921001313994,5.329210013139945
2013-02,Scala,8958,3710,238966,0.0374865043562682,3.748650435626825
2013-02,TypeScript,4651,1807,238966,0.0194630198438271,1.946301984382716
2013-03,C,11825,4168,249146,0.0474621306382603,4.74621306382603
2013-03,C#,16300,6811,249146,0.0654234866303292,6.542348663032921
2013-03,C++,13232,4890,249146,0.0531094217848169,5.310942178481694
2013-03,Dart,1431,521,249146,0.0057436202066258,0.5743620206625835
2013-03,Go,6213,2485,249146,0.0249371854254132,2.493718542541321
2013-03,Haskell,2758,1201,249146,0.0110698144862851,1.106981448628515
2013-03,Java,34409,12879,249146,0.138107776163374,13.810777616337408
2013-03,JavaScript,48401,19044,249146,0.1942676181837155,19.42676181837156
2013-03,Lua,4594,1841,249146,0.0184389875815786,1.8438987581578672
2013-03,Objective-C,9835,3960,249146,0.0394748460741894,3.947484607418944
2013-03,PHP,20195,8319,249146,0.0810568903373925,8.105689033739253
2013-03,Perl,6419,2607,249146,0.0257640098576738,2.576400985767381
2013-03,Python,37616,14649,249146,0.1509797468151204,15.097974681512044
2013-03,R,8068,3433,249146,0.0323826190265948,3.2382619026594845
2013-03,Ruby,13249,5172,249146,0.0531776548690326,5.317765486903261
2013-03,Scala,8827,3503,249146,0.0354290255512831,3.542902555128318
2013-03,TypeScript,5774,2594,249146,0.0231751663683141,2.317516636831416
